,arsno,bstopid,bstopnm,gpsx,gpsy,stoptype
505,04095,171050102,하리,129.0804283333,35.0687466667,일반
508,04098,171280101,롯데캐슬블루오션,129.0728533333,35.0731033333,일반
509,04099,171190302,KT동삼빌딩,129.0726416667,35.0730616667,일반
510,04100,171280401,중리초등학교,129.07194,35.0734933333,일반
512,04102,171310302,벽산비치타운,129.07092,35.0750966667,일반
514,04104,171070202,체육고등학교,129.066329491881,35.071585881078,일반
515,04105,171370302,쌍용자동차학원,129.059482738196,35.086374747782,일반
516,04106,171310301,동삼1동행정복지센터,129.0685216667,35.0754983333,일반
518,04108,171140201,절영아파트,129.06582,35.07624,일반
520,04110,171150301,고신대학,129.064515,35.0781016667,일반
524,04114,171240202,청학초등학교,129.059755,35.0925816667,일반
525,04115,171070302,영도여고,129.0646866667,35.07268,일반
528,04118,170920301,해동중학교,129.069115,35.0715716667,일반
529,04119,171280301,조양아파트,129.071254803155,35.072303271152,일반
531,04121,171330202,남고교,129.0672016667,35.06973,일반
532,04122,171330201,영도중리,129.06695,35.0695766667,일반
534,04124,171080201,함지그린아파트,129.0614083333,35.0701583333,일반
536,04126,171080102,절영복지회관,129.062280769116,35.071579928812,일반
538,04128,171070303,반도보라아파트,129.0608466667,35.07114,일반
540,04130,171350101,75광장,129.05827,35.0708016667,일반
542,04133,171350201,함지골수련원,129.0538766667,35.0730233333,일반
544,04135,171620101,백련사,129.0485283333,35.07584,일반
546,04137,171620201,영선아파트,129.04631,35.0777683333,일반
548,04139,171360202,고신대3강의동,129.063748292,35.0804268841,일반
549,04141,170320301,홈플러스,129.04468,35.09573,일반
552,04145,171360201,광명고교,129.062705,35.081915,일반
553,04147,171410201,일신마리나아파트,129.06311,35.08664,일반
554,04148,171390101,롯데낙천대,129.06078590014,35.088367893097,일반
555,04149,171440101,(구)해사고,129.0597033333,35.0888916667,일반
556,04150,170950301,영광아파트,129.05691,35.09116,일반
557,04151,170950302,시영아파트,129.0526283333,35.0921016667,일반
562,04166,171470301,삼신아파트,129.05434,35.09231,일반
563,04167,171470201,청산학원,129.05796360979,35.090001151942,일반
564,04168,171130301,영도교회,129.073513166303,35.07690815577,일반
566,04170,171180101,동삼초등학교,129.074081933203,35.079372001741,일반
568,04172,171170401,국제크루즈터미널입구,129.077315857879,35.080208901925,일반
570,04174,171170402,미창석유,129.07584562985,35.085792016964,일반
572,04176,170970201,송강중공업,129.07216710303,35.088680399621,일반
573,04177,211380101,(주)국보,129.07105279711,35.089665990331,일반
574,04178,211380301,(주)거청,129.067906036787,35.094219930675,일반
576,04180,211380302,대선조선,129.063855,35.096235,일반
578,04182,211380303,청학수변공원,129.060050558691,35.098079100564,일반
580,04184,211380304,부산조선,129.058131154329,35.099485043757,일반
582,04186,215470104,국립해양박물관,129.07901782586,35.078086177337,일반
583,04187,210960101,영선2동행정복지센터,129.042027129443,35.087057558503,일반
588,04192,171050202,태종대.태종대온천,129.080885,35.06368167,일반
592,04196,171130101,동삼혁신지구입구.동삼교회,129.074425,35.073838,일반
593,04197,171130202,동삼혁신지구입구,129.073675,35.07532098,일반
594,04198,171060401,한국해양대.부산해사고,129.0774196,35.07244974,일반
596,04200,217270202,한국해양수산연수원,129.0753063,35.07643306,일반
598,04202,217270201,국립수산물품질관리원,129.0751178,35.07894605,일반
601,05005,210470301,세정고등학교,129.076401,35.174984,일반
602,05006,172680101,가야1치안센터,129.036825,35.1546216667,일반
